time_hours,flux
0.0,0.991438
0.025,0.99144
0.0501,0.991497
0.0751,0.992657
0.1001,0.992032
0.1252,0.993278
0.1502,0.992806
0.1752,0.993098
0.2003,0.992257
0.2253,0.993015
0.2503,0.994181
0.2753,0.9932
0.3004,0.994841
0.3254,0.993083
0.3504,0.994079
0.3755,0.993523
0.4005,0.992703
0.4255,0.99425
0.4506,0.995546
0.4756,0.993895
0.5006,0.992771
0.5257,0.994233
0.5507,0.994312
0.5757,0.995453
0.6008,0.99382
0.6258,0.994603
0.6508,0.995
0.6758,0.995007
0.7009,0.995356
0.7259,0.994559
0.7509,0.994865
0.776,0.995495
0.801,0.997696
0.826,0.995812
0.8511,0.994918
0.8761,0.995589
0.9011,0.996759
0.9262,0.997315
0.9512,0.996532
0.9762,0.997348
1.0013,0.995855
1.0263,0.995635
1.0513,0.997463
1.0763,0.996658
1.1014,0.996892
1.1264,0.997121
1.1514,0.996853
1.1765,0.996641
1.2015,0.997383
1.2265,0.997942
1.2516,0.997695
1.2766,0.996808
1.3016,0.998281
1.3267,0.99853
1.3517,0.998793
1.3767,0.998928
1.4018,1.000332
1.4268,0.997625
1.4518,0.998443
1.4768,0.999826
1.5019,0.99885
1.5269,0.997849
1.5519,0.99957
1.577,1.000481
1.602,0.998135
1.627,0.998832
1.6521,0.999004
1.6771,0.998205
1.7021,0.999686
1.7272,1.000899
1.7522,1.000023
1.7772,1.001258
1.8023,1.000367
1.8273,1.000231
1.8523,1.00079
1.8773,0.999969
1.9024,0.9982
1.9274,1.001138
1.9524,1.002217
1.9775,1.002305
2.0025,1.003369
2.0275,1.000016
2.0526,1.001002
2.0776,0.999418
2.1026,0.999771
2.1277,0.999703
2.1527,1.001164
2.1777,1.000154
2.2028,0.999178
2.2278,0.999617
2.2528,0.998712
2.2778,0.998972
2.3029,1.001351
2.3279,0.999771
2.3529,0.999827
2.378,1.001443
2.403,1.000682
2.428,0.999866
2.4531,0.998361
2.4781,0.999927
2.5031,0.999086
2.5282,1.000526
2.5532,0.999742
2.5782,1.000459
2.6033,0.99953
2.6283,0.999301
2.6533,1.000273
2.6783,0.999834
2.7034,0.99922
2.7284,1.001063
2.7534,1.001177
2.7785,1.000266
2.8035,0.999834
2.8285,0.999399
2.8536,1.000328
2.8786,1.000152
2.9036,1.001749
2.9287,1.000989
2.9537,0.998863
2.9787,0.999459
3.0038,1.00077
3.0288,0.9991
3.0538,1.001493
3.0788,0.999392
3.1039,0.998627
3.1289,1.001044
3.1539,1.000571
3.179,1.001414
3.204,1.000511
3.229,0.999228
3.2541,0.999753
3.2791,1.000118
3.3041,1.000602
3.3292,1.000123
3.3542,1.000442
3.3792,1.001585
3.4043,1.001866
3.4293,0.999091
3.4543,1.001082
3.4793,0.999703
3.5044,1.001934
3.5294,1.000099
3.5544,0.999268
3.5795,1.000724
3.6045,1.000587
3.6295,1.001029
3.6546,1.000565
3.6796,1.000725
3.7046,0.999982
3.7297,1.000699
3.7547,0.99965
3.7797,0.999099
3.8048,0.999589
3.8298,0.998867
3.8548,1.000583
3.8798,0.999705
3.9049,1.0
3.9299,0.999966
