time_hours,flux
0.0,1.001283
0.025,1.000453
0.0501,1.000566
0.0751,1.000406
0.1001,1.000466
0.1252,1.000079
0.1502,0.999869
0.1752,1.000452
0.2003,0.999404
0.2253,1.000508
0.2503,1.000425
0.2753,0.99998
0.3004,1.000292
0.3254,0.999914
0.3504,0.999846
0.3755,1.000602
0.4005,1.000298
0.4255,1.001014
0.4506,1.001266
0.4756,1.000499
0.5006,1.000348
0.5257,1.000905
0.5507,0.999547
0.5757,0.999766
0.6008,1.000177
0.6258,1.000389
0.6508,1.0003
0.6758,1.000309
0.7009,1.000559
0.7259,1.000266
0.7509,1.000494
0.776,1.000371
0.801,1.000042
0.826,0.99994
0.8511,0.999865
0.8761,1.000438
0.9011,1.000198
0.9262,1.001006
0.9512,1.000342
0.9762,1.001047
1.0013,0.999852
1.0263,1.000329
1.0513,0.999796
1.0763,1.000252
1.1014,1.000663
1.1264,1.000191
1.1514,1.000242
1.1765,1.000516
1.2015,1.001119
1.2265,1.000013
1.2516,0.999956
1.2766,1.000121
1.3016,1.000319
1.3267,1.000069
1.3517,1.000486
1.3767,1.000673
1.4018,0.999893
1.4268,1.00101
1.4518,0.999812
1.4768,1.00051
1.5019,1.000421
1.5269,1.001101
1.5519,1.000118
1.577,1.000362
1.602,1.000543
1.627,1.000685
1.6521,1.000259
1.6771,1.001048
1.7021,0.999871
1.7272,0.999977
1.7522,1.000349
1.7772,0.999982
1.8023,0.999723
1.8273,1.00087
1.8523,1.000662
1.8773,0.999421
1.9024,1.000676
1.9274,1.000756
1.9524,0.999861
1.9775,1.000798
2.0025,0.999694
2.0275,1.000084
2.0526,1.000217
2.0776,1.000477
2.1026,1.00044
2.1277,1.000372
2.1527,0.999942
2.1777,1.000902
2.2028,1.000552
2.2278,1.000071
2.2528,1.000059
2.2778,1.00085
2.3029,1.000544
2.3279,0.999926
2.3529,1.000132
2.378,1.0007
2.403,0.9995
2.428,0.999943
2.4531,1.000578
2.4781,0.999801
2.5031,1.000934
2.5282,0.999845
2.5532,0.999738
2.5782,0.99976
2.6033,1.000309
2.6283,1.000128
2.6533,0.999985
2.6783,1.000338
2.7034,0.999972
2.7284,1.000396
2.7534,1.000554
2.7785,1.000438
2.8035,0.999863
2.8285,1.000656
2.8536,1.00036
2.8786,1.000629
2.9036,1.000687
2.9287,1.000141
2.9537,1.00061
2.9787,1.000013
3.0038,1.000532
3.0288,0.999649
3.0538,1.000569
3.0788,1.000308
3.1039,0.999627
3.1289,1.000432
3.1539,1.000085
3.179,1.001146
3.204,1.000378
3.229,1.00122
3.2541,1.000591
3.2791,0.999954
3.3041,1.000421
3.3292,1.000397
3.3542,1.000645
3.3792,0.999675
3.4043,1.000199
3.4293,1.000068
3.4543,1.000395
3.4793,1.00038
3.5044,1.000431
3.5294,1.00057
3.5544,1.00023
3.5795,1.000612
3.6045,1.000147
3.6295,1.000136
3.6546,1.000437
