time_hours,flux
0.0,1.000498
0.025,1.000118
0.0501,1.000591
0.0751,1.001117
0.1001,1.000064
0.1252,1.000065
0.1502,1.001154
0.1752,1.000669
0.2003,0.999927
0.2253,1.000536
0.2503,0.999933
0.2753,0.999933
0.3004,1.000359
0.3254,0.999067
0.3504,0.999181
0.3755,0.999879
0.4005,0.99961
0.4255,1.000408
0.4506,0.999675
0.4756,0.999374
0.5006,1.001102
0.5257,1.000088
0.5507,1.000265
0.5757,0.99937
0.6008,0.9999
0.6258,1.000294
0.6508,0.999538
0.6758,1.000455
0.7009,0.99987
0.7259,1.000056
0.7509,0.999871
0.776,1.001344
0.801,1.000226
0.826,0.9996
0.8511,1.000729
0.8761,0.999504
0.9011,1.000363
0.9262,0.999063
0.9512,0.999443
0.9762,1.000359
1.0013,1.000684
1.0263,1.000345
1.0513,1.000174
1.0763,1.000063
1.1014,0.999358
1.1264,0.999814
1.1514,0.99997
1.1765,1.000882
1.2015,1.000455
1.2265,0.999191
1.2516,1.000444
1.2766,1.00002
1.3016,0.999845
1.3267,1.000619
1.3517,1.000872
1.3767,1.000813
1.4018,0.999751
1.4268,1.00007
1.4518,1.000455
1.4768,1.000842
1.5019,0.99997
1.5269,1.000147
1.5519,0.999596
1.577,0.999542
1.602,1.000748
1.627,1.001075
1.6521,1.000219
1.6771,1.000865
1.7021,1.000481
1.7272,0.999877
1.7522,1.000482
1.7772,1.001189
1.8023,1.000245
1.8273,1.001206
1.8523,0.998696
1.8773,1.000761
1.9024,1.000321
1.9274,1.00009
1.9524,1.000325
1.9775,0.999078
2.0025,1.00014
2.0275,1.000486
2.0526,1.001159
2.0776,0.999962
2.1026,0.999789
2.1277,0.999973
2.1527,1.000824
2.1777,1.000473
2.2028,0.999958
2.2278,1.000585
2.2528,1.000335
2.2778,1.000859
2.3029,0.999857
2.3279,1.000082
2.3529,1.000044
2.378,0.999402
2.403,1.000458
2.428,1.000437
2.4531,1.000284
2.4781,1.000141
2.5031,0.999433
2.5282,1.00003
2.5532,1.000078
2.5782,0.999802
2.6033,1.000187
2.6283,1.000527
2.6533,1.001417
2.6783,1.00039
2.7034,1.00044
2.7284,1.000242
2.7534,0.999135
2.7785,1.000271
2.8035,1.000324
2.8285,1.001766
2.8536,1.000173
2.8786,1.00047
2.9036,1.000268
2.9287,0.999588
2.9537,1.000975
2.9787,1.000741
3.0038,1.000765
3.0288,0.999745
3.0538,1.001133
3.0788,0.99945
3.1039,1.000644
3.1289,1.001606
3.1539,0.999698
3.179,0.999953
3.204,1.000353
3.229,0.999991
3.2541,0.999363
3.2791,1.000335
3.3041,0.999657
3.3292,1.000578
3.3542,0.999743
3.3792,1.001225
3.4043,0.999825
3.4293,1.000102
3.4543,1.000784
3.4793,0.999557
3.5044,1.000432
3.5294,1.00108
3.5544,0.999332
3.5795,1.000407
3.6045,1.000453
3.6295,1.000766
3.6546,0.999555
3.6796,0.999505
3.7046,1.000611
3.7297,1.000476
3.7547,1.000448
3.7797,1.000506
3.8048,0.99989
3.8298,1.000438
3.8548,1.000474
3.8798,0.99987
3.9049,1.001418
3.9299,1.000583
3.9549,0.999584
3.98,1.000693
4.005,0.999714
4.03,1.000771
4.0551,1.000994
4.0801,0.999807
4.1051,1.000877
4.1302,1.000547
4.1552,1.000793
4.1802,1.001438
4.2053,1.000152
4.2303,0.999848
4.2553,0.999766
4.2804,0.99981
4.3054,1.000254
4.3304,1.000505
4.3554,1.000466
4.3805,1.000796
4.4055,1.000308
4.4305,1.001172
4.4556,1.000141
4.4806,1.001932
4.5056,1.000675
4.5307,0.999786
4.5557,0.999657
4.5807,1.000589
4.6058,1.000166
4.6308,1.000728
4.6558,1.000584
4.6809,1.000256
4.7059,0.999792
4.7309,0.999391
4.7559,1.000032
4.781,1.000813
4.806,1.000428
4.831,0.999552
4.8561,1.000403
4.8811,1.00053
4.9061,0.999769
4.9312,1.000391
4.9562,1.000334
4.9812,0.999613
5.0063,1.000513
5.0313,1.000635
5.0563,1.000948
5.0814,1.000931
5.1064,0.999472
5.1314,0.999736
5.1564,1.000607
5.1815,1.000606
5.2065,1.000607
5.2315,1.002609
5.2566,1.00064
5.2816,1.000979
5.3066,1.00087
5.3317,1.000688
5.3567,1.000108
5.3817,1.000752
5.4068,0.999833
5.4318,1.000154
5.4568,1.000005
5.4819,1.000345
5.5069,1.001685
5.5319,0.999175
5.5569,1.000707
5.582,0.999328
5.607,1.000012
5.632,1.000948
5.6571,1.000333
5.6821,0.999648
5.7071,0.999865
5.7322,1.000702
5.7572,0.999855
5.7822,1.000423
5.8073,1.000321
5.8323,0.999902
5.8573,1.001579
5.8824,1.000673
5.9074,0.999077
5.9324,1.000404
5.9574,0.999895
5.9825,1.000803
6.0075,0.999816
6.0325,1.000222
6.0576,1.000594
6.0826,1.00081
6.1076,0.99957
6.1327,1.000089
6.1577,1.000005
6.1827,0.999897
6.2078,1.001348
6.2328,1.000532
6.2578,0.999532
6.2829,1.000839
6.3079,1.001561
6.3329,1.000907
6.3579,0.999376
6.383,0.999996
6.408,1.001047
6.433,0.999862
6.4581,1.000552
6.4831,1.00075
6.5081,0.999729
6.5332,1.000249
6.5582,0.99834
6.5832,0.99967
6.6083,1.000132
6.6333,0.999535
6.6583,1.001263
6.6834,0.999425
6.7084,1.000019
6.7334,1.000361
6.7584,1.001147
6.7835,0.99942
6.8085,1.000979
6.8335,1.000287
6.8586,0.999692
6.8836,1.000557
6.9086,1.000399
6.9337,0.999919
6.9587,1.000321
6.9837,1.000047
7.0088,1.000346
7.0338,1.000675
7.0588,1.001229
7.0839,0.999534
7.1089,1.001557
7.1339,0.999105
7.1589,1.000185
7.184,1.000629
7.209,1.000444
7.234,0.999901
7.2591,1.00015
7.2841,0.999978
7.3091,0.99992
7.3342,1.000783
7.3592,1.000487
7.3842,0.999857
7.4093,1.000812
7.4343,1.000456
7.4593,1.000759
7.4844,1.000649
7.5094,0.999773
7.5344,0.999934
7.5594,1.000718
7.5845,1.000635
7.6095,1.000256
7.6345,1.000339
7.6596,1.001035
7.6846,0.999913
7.7096,1.000595
7.7347,1.000145
7.7597,1.000136
7.7847,1.000925
7.8098,1.000761
7.8348,1.000753
7.8598,1.001048
7.8849,1.000277
7.9099,1.000673
7.9349,1.000077
7.9599,1.000457
7.985,1.000184
8.01,1.00032
8.035,1.000619
8.0601,0.99977
8.0851,1.001516
8.1101,0.999657
8.1352,0.999531
8.1602,1.000954
8.1852,1.000734
8.2103,1.000633
8.2353,1.000635
8.2603,1.00025
8.2854,0.999719
8.3104,1.000302
8.3354,0.99985
8.3605,1.000841
8.3855,1.000167
8.4105,0.99976
8.4355,1.000062
8.4606,1.000502
8.4856,0.999916
8.5106,0.99976
8.5357,1.000399
8.5607,1.0004
8.5857,0.999948
