time_hours,flux
0.0,0.999509
0.025,1.000769
0.0501,0.999944
0.0751,1.00038
0.1001,0.999998
0.1252,1.000097
0.1502,1.000721
0.1752,1.000083
0.2003,0.999764
0.2253,1.000706
0.2503,1.000778
0.2753,0.99969
0.3004,1.000626
0.3254,1.000941
0.3504,1.000584
0.3755,1.000643
0.4005,1.000307
0.4255,1.000411
0.4506,0.999435
0.4756,0.99963
0.5006,0.999937
0.5257,1.000274
0.5507,0.999611
0.5757,1.000489
0.6008,1.00013
0.6258,1.000206
0.6508,0.999867
0.6758,0.999948
0.7009,1.000361
0.7259,1.000131
0.7509,1.000028
0.776,0.999839
0.801,1.00039
0.826,0.999981
0.8511,1.000065
0.8761,1.000276
0.9011,1.001004
0.9262,0.99999
0.9512,1.000559
0.9762,1.000664
1.0013,0.999901
1.0263,1.00005
1.0513,1.000939
1.0763,1.000675
1.1014,0.999923
1.1264,1.000389
1.1514,1.000941
1.1765,0.999891
1.2015,0.999917
1.2265,0.999481
1.2516,1.001121
1.2766,1.000246
1.3016,0.999649
1.3267,1.000131
1.3517,0.999905
1.3767,0.999714
1.4018,0.999599
1.4268,1.000584
1.4518,1.000582
1.4768,1.001234
1.5019,0.999767
1.5269,1.000467
1.5519,1.000112
1.577,1.000202
1.602,1.000273
1.627,1.000041
1.6521,0.999451
1.6771,1.000232
1.7021,0.999308
1.7272,1.000222
1.7522,0.999853
1.7772,1.001371
1.8023,0.99984
1.8273,0.99951
1.8523,0.999857
1.8773,1.000134
1.9024,0.999571
1.9274,1.000165
1.9524,0.998915
1.9775,1.001133
2.0025,1.000514
2.0275,0.999275
2.0526,1.001108
2.0776,0.999774
2.1026,1.000522
2.1277,1.00044
2.1527,1.000332
2.1777,1.001208
2.2028,1.001405
2.2278,1.000079
2.2528,0.999888
2.2778,0.999539
2.3029,1.000211
2.3279,1.000212
2.3529,0.999935
2.378,1.000563
2.403,0.999995
2.428,0.999468
2.4531,0.999807
2.4781,0.999828
2.5031,1.000296
2.5282,0.999814
2.5532,0.999708
2.5782,1.000572
2.6033,0.99983
2.6283,1.000251
2.6533,1.000671
2.6783,1.000493
2.7034,0.999576
2.7284,1.000378
2.7534,0.999982
2.7785,0.99975
2.8035,0.99933
2.8285,0.999742
2.8536,0.998871
2.8786,0.999124
2.9036,1.000222
2.9287,1.000157
2.9537,0.999553
2.9787,1.000593
3.0038,0.999264
3.0288,1.000387
3.0538,1.000285
3.0788,0.999537
3.1039,1.000813
3.1289,1.000669
3.1539,0.999249
3.179,1.000254
3.204,1.000051
3.229,0.999508
3.2541,1.000492
3.2791,0.999851
3.3041,1.000466
3.3292,1.001364
3.3542,1.000273
3.3792,1.000524
3.4043,1.001019
3.4293,1.00139
3.4543,1.001076
3.4793,1.00081
3.5044,1.000475
3.5294,1.000267
3.5544,0.999882
3.5795,1.000276
3.6045,0.999962
3.6295,1.000122
3.6546,1.00027
3.6796,1.000035
3.7046,0.999435
3.7297,0.99968
3.7547,1.001142
3.7797,0.999757
3.8048,1.000553
3.8298,1.000337
3.8548,1.000676
3.8798,0.999763
3.9049,1.000981
3.9299,0.999418
3.9549,0.999587
3.98,0.999609
4.005,1.000893
4.03,1.000137
4.0551,1.001122
4.0801,0.999925
4.1051,1.000482
4.1302,1.000186
4.1552,1.000136
4.1802,0.999583
4.2053,0.999726
4.2303,1.00027
4.2553,1.000686
4.2804,1.00096
4.3054,0.999727
4.3304,1.000457
4.3554,1.000227
4.3805,0.999263
4.4055,1.000401
4.4305,0.999944
4.4556,0.999903
4.4806,1.000309
4.5056,1.00029
4.5307,1.000427
4.5557,1.000923
4.5807,0.999981
4.6058,1.00068
4.6308,1.000262
4.6558,1.000632
4.6809,1.000147
4.7059,1.000184
4.7309,1.000123
4.7559,1.000743
4.781,1.001021
4.806,0.999375
4.831,0.999597
4.8561,0.999522
4.8811,1.000309
4.9061,1.000066
4.9312,1.000122
4.9562,1.000658
4.9812,1.000314
5.0063,1.000421
5.0313,0.999883
5.0563,1.00071
5.0814,1.001318
5.1064,0.999077
5.1314,1.000597
5.1564,1.000717
5.1815,1.000823
5.2065,0.999452
5.2315,1.000902
5.2566,1.000128
5.2816,1.000666
5.3066,1.000324
5.3317,0.999659
5.3567,0.999424
5.3817,1.000884
5.4068,0.999838
5.4318,1.000184
5.4568,0.999686
5.4819,0.999869
5.5069,1.00026
5.5319,0.999938
5.5569,1.000068
5.582,1.00063
5.607,1.000263
5.632,1.001022
5.6571,1.000449
5.6821,1.000272
5.7071,0.999873
5.7322,0.999923
5.7572,1.000728
5.7822,1.000678
5.8073,1.000087
5.8323,1.000985
5.8573,1.000038
5.8824,1.000992
5.9074,1.000002
5.9324,1.000172
5.9574,0.999858
5.9825,0.999202
6.0075,0.999972
6.0325,1.000131
6.0576,1.000273
6.0826,1.000953
6.1076,1.001051
6.1327,1.000271
6.1577,0.99999
6.1827,1.000074
6.2078,0.999772
6.2328,0.999834
6.2578,1.000362
6.2829,1.000204
6.3079,0.999892
6.3329,1.00077
