time_hours,flux
0.0,1.00024
0.025,1.00241
0.0501,1.002872
0.0751,1.001531
0.1001,0.999989
0.1252,1.003687
0.1502,1.000685
0.1752,0.999946
0.2003,1.00211
0.2253,0.999345
0.2503,1.000198
0.2753,1.001803
0.3004,1.001467
0.3254,1.000237
0.3504,0.99999
0.3755,1.002153
0.4005,1.001658
0.4255,1.003344
0.4506,1.001528
0.4756,1.001084
0.5006,1.001415
0.5257,1.00079
0.5507,1.001787
0.5757,0.998307
0.6008,1.002695
0.6258,0.999912
0.6508,0.999605
0.6758,1.001443
0.7009,1.001244
0.7259,1.000521
0.7509,1.000002
0.776,1.000744
0.801,1.002741
0.826,1.00021
0.8511,1.002593
0.8761,1.002106
0.9011,1.002395
0.9262,1.000783
0.9512,1.000889
0.9762,1.00176
1.0013,1.000339
1.0263,1.002245
1.0513,1.000792
1.0763,1.002272
1.1014,0.999885
1.1264,1.002658
1.1514,1.002082
1.1765,1.000917
1.2015,1.001128
1.2265,1.001664
1.2516,1.001808
1.2766,1.002464
1.3016,1.001561
1.3267,1.003197
1.3517,1.000889
1.3767,1.004073
1.4018,1.001021
1.4268,0.999871
1.4518,1.002731
1.4768,1.002717
1.5019,1.002643
1.5269,1.002928
1.5519,1.000688
1.577,1.001058
1.602,1.002105
1.627,1.001957
1.6521,1.001542
1.6771,1.002984
1.7021,1.001603
1.7272,1.001099
1.7522,1.001165
1.7772,1.001413
1.8023,1.002835
1.8273,1.00067
1.8523,1.003955
1.8773,1.001591
1.9024,1.001606
1.9274,1.005124
1.9524,1.000689
1.9775,1.001522
2.0025,1.001773
2.0275,1.00177
2.0526,0.999895
2.0776,1.001905
2.1026,1.000377
2.1277,0.999755
2.1527,0.999218
2.1777,1.003285
2.2028,1.002169
2.2278,1.001679
2.2528,1.001744
2.2778,1.001777
2.3029,1.001921
2.3279,1.003041
2.3529,1.001903
2.378,1.001839
2.403,1.001427
2.428,1.003087
2.4531,1.000529
2.4781,1.002985
2.5031,1.002967
2.5282,1.00257
2.5532,1.000377
2.5782,1.002509
2.6033,1.001721
2.6283,1.001742
2.6533,1.000132
2.6783,1.001376
2.7034,1.001779
2.7284,1.002062
2.7534,1.001629
2.7785,1.001936
2.8035,1.001633
2.8285,1.001449
2.8536,1.002166
2.8786,1.002614
2.9036,1.001307
2.9287,1.000012
2.9537,1.001034
2.9787,1.002414
3.0038,1.003022
3.0288,1.000079
3.0538,1.002779
3.0788,1.001985
3.1039,1.001584
3.1289,1.001269
3.1539,1.002719
3.179,1.000695
3.204,1.001931
3.229,1.001563
3.2541,1.002414
3.2791,1.001697
3.3041,1.000817
3.3292,1.002871
3.3542,1.002996
3.3792,1.00179
3.4043,1.001484
3.4293,1.001672
3.4543,1.002598
3.4793,1.003629
3.5044,1.001701
3.5294,1.001612
3.5544,1.001476
3.5795,1.001155
3.6045,1.001536
3.6295,1.001811
3.6546,0.999548
3.6796,1.003512
3.7046,1.000535
3.7297,1.002055
3.7547,1.001414
3.7797,1.000203
3.8048,1.003013
3.8298,1.000241
3.8548,1.001865
3.8798,1.001524
3.9049,1.000486
3.9299,1.000164
3.9549,1.002218
3.98,1.001995
4.005,1.002986
4.03,1.000307
4.0551,1.001367
4.0801,0.999952
4.1051,1.001151
4.1302,1.000459
4.1552,1.003292
4.1802,1.002464
4.2053,1.00259
4.2303,1.001862
4.2553,1.002852
4.2804,1.0018
4.3054,1.000181
4.3304,1.001694
4.3554,1.003662
4.3805,1.003578
4.4055,0.999677
4.4305,1.002311
4.4556,1.003527
4.4806,1.000891
4.5056,1.000093
4.5307,1.001892
4.5557,1.00232
4.5807,1.000204
4.6058,1.00005
4.6308,1.000792
4.6558,1.000804
4.6809,1.00191
4.7059,1.003623
4.7309,1.001076
4.7559,1.001751
4.781,1.003459
4.806,1.00194
4.831,1.000131
4.8561,0.999419
4.8811,1.001879
4.9061,1.001417
4.9312,1.001304
4.9562,1.002147
4.9812,0.999146
5.0063,1.000826
5.0313,1.001893
5.0563,1.001098
5.0814,1.000724
5.1064,1.000224
5.1314,1.000922
5.1564,1.00132
5.1815,1.002696
5.2065,1.00118
5.2315,0.999975
5.2566,1.005514
5.2816,1.001943
5.3066,0.999911
5.3317,1.001505
5.3567,1.000842
5.3817,1.002659
5.4068,1.002133
5.4318,1.001025
5.4568,1.0007
5.4819,1.001313
5.5069,1.001712
5.5319,1.001892
5.5569,1.001832
5.582,1.003668
5.607,1.001223
5.632,1.000471
5.6571,1.001359
5.6821,0.998332
5.7071,1.002584
5.7322,1.001591
5.7572,1.003716
5.7822,1.00235
5.8073,1.002356
5.8323,1.001796
5.8573,1.003742
5.8824,1.003336
5.9074,1.00135
5.9324,1.002353
5.9574,1.002609
5.9825,1.001157
6.0075,1.002407
6.0325,1.0018
6.0576,1.002475
6.0826,1.001866
6.1076,1.000541
6.1327,1.000882
6.1577,1.000559
6.1827,1.002968
6.2078,1.000946
6.2328,1.003273
6.2578,1.001699
6.2829,1.002694
6.3079,1.001381
6.3329,1.002201
6.3579,1.002918
6.383,1.003524
6.408,1.000549
6.433,0.999827
6.4581,1.002983
6.4831,1.001518
6.5081,1.001143
6.5332,1.002127
6.5582,1.002931
6.5832,1.000415
6.6083,1.003122
